mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0991000416,古早味芋頭米粉湯,信義區,莊敬路262號,,,,,305936.552,2769321.483,,,,,,景新里,美食佳餚,各類小吃,,,
0991000418,古早味滿月油飯,士林區,社子街63巷9弄8號,,,,,300341.141,2775817.861,,,,,,社新里,美食佳餚,各類小吃,,,
0991000480,佳香魷魚?,中正區,羅斯福路一段9巷3號,,,,,301465.393,2769777.524,,,,,,新營里,美食佳餚,各類小吃,,,
0991000489,宜福小吃,信義區,松德路12號,,,,,307431.52,2770507.026,,,,,,廣居里,美食佳餚,各類小吃,,,
0991000535,八方雲集,士林區,中山北路七段175號,,,,,302866.437,2779879.45,,,,,,天母里,美食佳餚,各類小吃,,,
0991000616,金福第小吃,南港區,成福路43號,,,,,308386.305,2771011.535,,,,,,成福里,美食佳餚,各類小吃,,,
0991000789,田園日式美食亭,信義區,吳興街269巷11號,,,,,306155.374,2769132.663,,,,,,三張里,美食佳餚,日式料理,,,
0991000845,川園餐廳,士林區,至善路三段150巷8之2號,,,,,307119.358,2778972.082,,,,,,溪山里,美食佳餚,中式料理,台式料理,,
0991000775,日式攤日式料理,士林區,美德街40號,,,,,302152.922,2776591.763,,,,,,福德里,美食佳餚,日式料理,,,
0991003592,Mister Donut東興門市,信義區,東興路65號1樓,,,,,306340.679,2771308.343,,,,,,新仁里,美食佳餚,其他美食,,,
