mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950102259,OK便利商店萬芳店,文山區,興隆路三段118號,OK,,,0,305453.351,2765996.954,www.okcvs.com.tw/,OK Chain Store Wuanfang Branch,0,,,興得里,休閒購物,生活購物,便利商店,,
0950141223,OK便利商店,士林區,延平北路五段177號,,,,0,300617.729,2775275.35,,,0,,,,休閒購物,生活購物,便利商店,,
0950149431,OK便利商店北投吉運店,北投區,石牌路一段39巷124號,,,,0,300571.189,2779054.073,,,0,,,,休閒購物,生活購物,便利商店,,
0950148048,OK便利商店台北景聯店,信義區,吳興街110號,,,,0,305776.74,2769436.713,,,0,,,,休閒購物,生活購物,便利商店,,
0950148998,OK便利商店,信義區,基隆路二段39巷1號,,,,0,305575.052,2769563.743,,,0,,,景聯里,休閒購物,生活購物,便利商店,,
0950503218,OK便利商店,中山區,龍江路47號1樓,,,,0,303714.222,2771548.742,,,0,,,力行里,休閒購物,生活購物,便利商店,,
0950156092,OK便利商店天母公園店,士林區,中山北路七段81巷8號,OK,,,0,302678.635,2779585.75,,,0,,,,休閒購物,生活購物,便利商店,,
0971100302,OK便利商店關渡水鳥店,北投區,知行路1號,,,,0,296091.434,2779131.419,,,0,,,,休閒購物,生活購物,便利商店,,
0950505619,OK便利商店亞緹店,內湖區,江南街111號1樓,,,,0,307302.152,2774575.546,,,0,,,港墘里,休閒購物,生活購物,便利商店,,
0970803243,OK便利商店,北投區,石牌路一段166巷97號,,,,0,301130.705,2778516.567,,,0,,,榮光里,休閒購物,生活購物,便利商店,,
0951209606,OK便利超商,中正區,羅斯福路三段244巷7之1號1樓,,,,0,302740.928,2767956.756,,,0,,,文盛里,休閒購物,生活購物,便利商店,,
0961101545,OK便利商店台北金華店,大安區,金華街241之1號,,,,0,302703.509,2769391.28,,,,,,,休閒購物,生活購物,便利商店,,
0981001954,OK便利商店大同民族店,大同區,民族西路223之17號,,,,,300855.786,2773697.697,,,,,,國慶里,休閒購物,生活購物,便利商店,,
