mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950500117,麥當勞台北信義店,大安區,信義路四段273號1樓,,,,0,305128.664,2769790.139,www.mcdonalds.com.tw/,McDonalds Taipei Xinyi Branch,1,,,敦煌里,美食佳餚,西式料理,速食店,,
0950500136,麥當勞民權三店,中山區,民權西路68號1樓,,,,0,301629.983,2773022.084,www.mcdonalds.com.tw/,McDonalds Minquan Third Branch,1,,,集英里,美食佳餚,西式料理,速食店,,
0950500145,麥當勞長春店,中山區,長春路172號,,,,0,303032.663,2772145.646,www.mcdonalds.com.tw/,McDonalds Changchun Branch,1,,,中央里,美食佳餚,西式料理,速食店,,
0950500262,麥當勞昆明店,萬華區,昆明街92之4號,,,,0,300153.191,2771049.013,www.mcdonalds.com.tw/,McDonalds Kunming Branch,1,,,萬壽里,美食佳餚,西式料理,速食店,,
0950500101,麥當勞台北敦南店,大安區,四維路170巷2號1樓,,,,0,304463.586,2769206.27,www.mcdonalds.com.tw/,McDonalds Taipei Tunnan Branch,1,,,群賢里,美食佳餚,西式料理,速食店,,
0950500215,麥當勞台北北投店,北投區,光明路218之3號,,,,0,300019.302,2781166.819,www.mcdonalds.com.tw/,McDonalds Taipei Beitou Branch,1,,,長安里,美食佳餚,西式料理,速食店,,
0950500209,麥當勞台北大業店,北投區,北投路二段15號,,,,0,299444.958,2780593.791,www.mcdonalds.com.tw/,McDonalds Taipei Daye Branch,1,,,大同里,美食佳餚,西式料理,速食店,,
0950500222,麥當勞京華城店,松山區,八德路四段138號,,,,0,305915.866,2771475.512,www.mcdonalds.com.tw/,McDonalds Living Mall Branch,1,,,復盛里,美食佳餚,西式料理,速食店,,
0950500235,麥當勞台北小巨蛋店,松山區,南京東路四段2號,,,,,304740.344,2771795.459,www.mcdonalds.com.tw/,McDonalds Taipei Arena Branch,1,,,美仁里,美食佳餚,西式料理,速食店,,
0950500826,麥當勞林森一店,中山區,南京東路一段86號,,,,0,302203.264,2771835.11,www.mcdonalds.com.tw/,McDonalds Linsen First Branch,0,,,正義里,美食佳餚,西式料理,速食店,,
